标题,链接
中国传媒大学2025年艺术类本科校考专业招生考试结果查询通知,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652682034&idx=1&sn=18008b7f0cd7a11eafc5bb35669d5abf&chksm=80546ce1b723e5f7f10d6efc4d084075352f6cd7e4ea72449df4389213f7cc9f780e8df8f55c#rd
中传悦读｜拓扑传播与传媒经济基础：昝廷全自选集,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652682025&idx=1&sn=b2528cc575a21149e4f9f14674d0ba6f&chksm=80546cfab723e5ecf55539896a1b5ede8326e40ecbbcd8dcd4d4b41a5de8530d95a876c5bd0c#rd
征集｜中传玉兰已就位，邀你来定格！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652682025&idx=2&sn=da671c2dd57f199b91c07f17144719f8&chksm=80546cfab723e5ec3930ff8c19d7c433c493159a90cc371473eb9133e9abb70cc58cc39f0e03#rd
中传优秀毕业作品展播｜播音主持艺术学院专业硕士研究生毕业作品展（二）,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652681985&idx=1&sn=2ad5fe623cdbf148c58be130eebcebaa&chksm=80546cd2b723e5c42af60e898c33261cc4215617825603aa1fba31fbb9bdd288b9b7e9cebaae#rd
中传悦读｜从核桃林到钢琴湖：周靖波自选集,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652681984&idx=1&sn=080ab9d735c0b5bd3965ac93ff0ea792&chksm=80546cd3b723e5c5c0dc837c4e53dcf3d5ca1d4f7df6a8015da0ed4b04760bd4b1d3bd584362#rd
@中传青年，2025年大学生志愿服务西部计划招募正式启动,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652681916&idx=1&sn=9e654dd595144bf9cba2501da9cc34e1&chksm=80546d6fb723e479ed57ce301b935849ed0cb6810bc7659ec095ff21da92b3dc8f20770d5606#rd
中国传媒大学2025年硕士研究生招生考试复试考生须知,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652681887&idx=1&sn=fb29a94cba4679e4e95e20f64be78552&chksm=80546d4cb723e45a27e11d00863adb1ecf88d56b8f414bc3315f5981bc13c52daacc462e8901#rd
北京高校国际传播能力提升培训班在中国传媒大学举办,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652681881&idx=1&sn=a1aa2c2223e693acc0c82183547969f7&chksm=80546d4ab723e45cc475835089f6483dc253c1d0cf5ab25c9ffc6a732ebb5d2a7019ecfee55e#rd
文旅帮扶助力北疆乡村振兴——中国传媒大学2024年科右前旗文旅帮扶实践纪实,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652681834&idx=1&sn=ca1b561133807c4e9face0f34909fdb5&chksm=80546db9b723e4aff7ca8483c5de4ef4ae66b6d374420f3084f6db2de1ad31b3643457527035#rd
中传优秀毕业作品展播｜播音主持艺术学院专业硕士研究生毕业作品展（一）,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652681833&idx=1&sn=2e5ef9c8596d46ca8c869e177858b5cd&chksm=80546dbab723e4ac53213ad2bd373664bcb92a5c65f7d4d3e08dd9cbfbc0e5e486f2824f2a2f#rd
中国传媒大学2025年硕士研究生招生考试考生进入复试考核基本要求,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652681823&idx=1&sn=e2c3b5686d89c7adfc3f3ccb24c1c6ca&chksm=80546d8cb723e49aa42876c5a6bdaf009d9085b13517646cefd8cf392d7933417ed5074651e4#rd
中传学生主创作品在MIT AI Filmmaking Hackathon大赛中获最佳叙事奖,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652681751&idx=1&sn=62d311f5f9a417298f8be7e0202f792d&chksm=80546dc4b723e4d200a296b1447e25af1c3dcdb24dfdad34a93ca84c9cbac2e12b9742167bea#rd
《中华民族共同体概论》开课啦！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652681712&idx=1&sn=67d0dccb4bcc6a98444ee25c860bf890&chksm=80546e23b723e735a58788b790cf3f973986eed2aee3c44f59714bef62c60e80088dcec966f0#rd
