标题,链接
2020年毕业设计优秀作品之《奇怪的她》,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652411492&idx=1&sn=fadff4d50e201b4c148c1927873c2b59&chksm=80504db7b727c4a16d014929931c3177d786632f6a43738fed5158c42d4cd7e5cfd0f5fe33c3#rd
新文科 新人文 新征程∣中国传媒大学“面向未来的新文科建设线上高端论坛”圆满举行,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652411431&idx=1&sn=5948edf9efc343d7ef41dca4a56b0905&chksm=80504df4b727c4e258df532194168e02eb047e495c932f6a6badf0685a2c90fc7607c39b99f2#rd
提供十万岗位！教育部24365推出“离校未就业毕业生专场招聘”活动,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652411380&idx=1&sn=d87905c2057480183a3f9c4cda22262b&chksm=80504e27b727c731df1e3b4b549df966fb6771929417bba2e4ad9b0daf8ff3b8fe12b35a9261#rd
“名校学者说电影”系列直播课等你来看！｜付晓红：“野生”的电影,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652411380&idx=2&sn=0cb00de1e6807303415e4bb159830e21&chksm=80504e27b727c731843954fee2ca44c1a8fec87403aa307d6058e98ec0866603842e217b151d#rd
来看！传传邀你共赏中传宝藏教师“云”课堂～,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652411336&idx=1&sn=74d7a5e2bd9a1c7857888033e3359d87&chksm=80504e1bb727c70d32aa61a2736e4e4d5c988ff55017f47e33f93a344797232f99d7603f9309#rd
中国传媒大学2020年各省招生专业及招生计划,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652411323&idx=1&sn=69a5f990baea14449dbcff3401798a2c&chksm=80504e68b727c77e0dda4abd297b2f8d7f50ba7e262c6189c6a50ce264d3a132c38b29b6872b#rd
相约7月25日！中国传媒大学线上招生直播答疑会来了！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652411323&idx=2&sn=218a04ebf9972cf4e6659a02ab10ee72&chksm=80504e68b727c77e882535f460ab8b0b3728ad185f2c56f466b9bb24a1aaa6331c10b6ea702f#rd
赞！中传电视学院师生编创“四史”学习教育融媒体图书馆,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652411217&idx=1&sn=0205129f33a7d180a96a928661770091&chksm=80504e82b727c79428d89938e35487aa6ec513146d3200064ea9681e530eca7d319d144294dc#rd
传传说 ｜ 夏日清凉指南,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652411081&idx=1&sn=f6c424d0b49de751328b53f1a608367c&chksm=80504f1ab727c60c25693c27f3055a7e3a2a0b38f49eb9c73438f12c0a80f4b3c9057f0ec766#rd
认真学习回信精神，到祖国最需要的地方绽放青春！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652411077&idx=1&sn=980e06c997539bc2c52bdc06825e6a14&chksm=80504f16b727c6004ef07fb89c3f65617cd74404a9add562983c299436626e9b03a32aab5204#rd
大学之道，在明明德 | 明德讲堂总结篇来啦~,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652411026&idx=1&sn=ce374e3e393f9598db30535e6f0c37e9&chksm=80504f41b727c657c4d6fcba06ea8096955606c5610cdd6b45ae1c7be60fb5229e46c17829a4#rd
微视频 | 快来看看“电视人”的抗疫影像故事,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652410593&idx=1&sn=64c284f9ea3410ba39ba110390646865&chksm=80504932b727c024de90c983f8cff0ac0179b96be7083e9a21512df8facd6759fc41942efab8#rd
优秀毕业生 | 来看这些乘风破浪的中传小白杨！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652410518&idx=1&sn=3de7096ff38565e6b7f5ecf3da4f7052&chksm=80504945b727c053de494498810648d855615d47f84c5f5ade92d7895c014dd83a294b4fbfc5#rd
重磅 |《中国教育报》整版报道中传“光明影院”公益项目,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652410411&idx=1&sn=99b60464d2c63ee3e2345bc9278f1111&chksm=805049f8b727c0ee3c582a222bb4ecc6e4a8d63a04638c072c3014e806644ecaa9dd4f013a05#rd
揭秘！中传电视学子“韬奋杯”折桂背后的故事(๑´ㅂ`๑),http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652410306&idx=1&sn=37a87301687b0db4b20035884f9a97b8&chksm=80504a11b727c307850ac78a6e68aa57e7e6b209aa107aad3fd330dbe13559d30818649f0b7e#rd
云端毕业季：无悔，让青春绽放！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652410288&idx=1&sn=7d2be2f44a93cdf76344184a028e4f59&chksm=80504a63b727c375e5dcc7acf5f214313f090c06248dc3b5a3ea261692f5dc72896acb3841fc#rd
援疆青年唐建平：我的青春一路向西,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652410288&idx=2&sn=188b9b961964fdeab29eaa472ab63cd7&chksm=80504a63b727c37504997b5bd15cf28e6fa958f3e6da5ca588d00f47531ea6141d240ee5fc43#rd
专访｜中国传媒大学校长廖祥忠：新传专业设置不在多少，关键看是否符合社会需求,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652410032&idx=1&sn=a1b869a54110c07924dd5508d3b22fdf&chksm=80504b63b727c275df8fd982d6e577a31171cc8f55c8abc8e98156373480a404cc01c31bb284#rd
相信未来，青春逐梦正当时,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652409957&idx=1&sn=a8350198e8bd3e8eee97dae91b239a9f&chksm=80504bb6b727c2a06c20c5f14c19a7d0dfd5b0999969340cd5c283c3a9bf22b997bf5cc6c1fa#rd
@CUCers，今年的研究生录取通知书样式，由你决定！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652409905&idx=1&sn=2c50cda305b3e1d9e600702fcd852fca&chksm=80504be2b727c2f4ef5a9e332330e13dddfc788497c3506336f72148a45d9aeffd07bace4fe5#rd
致2020届毕业的小白杨：愿你披荆斩棘，勇敢“入海”！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652409905&idx=2&sn=1e63c0ea9e476e49f8086ee201474bca&chksm=80504be2b727c2f465b03f62a164c8770612488ad6718347336ea288347b278478a6a3f92f63#rd
中国传媒大学2020年招生章程,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652409777&idx=1&sn=82b6f2f3b81d16fd1f4cac93937b9e59&chksm=80505462b727dd7403ea15161fcce54ba9f9e34c11a9605c2cd0955dc01a98a1388ca80f13d6#rd
【毕业啦】愿你归来仍是少年，留住最珍贵的瞬间,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652409777&idx=2&sn=696ad9daa1f1214019c3cf5f2d597188&chksm=80505462b727dd74fe2a952998f5d37c867b74c6233f2008ac29086771810680d138911bd631#rd
中国传媒大学2020年艺术类本科招生考试复试线上考试考生须知,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652409702&idx=1&sn=07dda2c09b11738868c999edb3342479&chksm=805054b5b727dda33d53ed67af65ab65c9a6b0fe11200f390e41d08a5a8620f29796773d2c12#rd
传传拍了拍2020年考生说：高考加油，艺考顺利！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652409702&idx=2&sn=641e37ebc06e94bee05a3a108b8e5227&chksm=805054b5b727dda39de550dbe6b893a47f3cfb096a43ddb1f72938a6b7ddcd90c82e44d96ae3#rd
中国传媒大学“毕业寄”：在“云整理”中上好最后一课,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652409622&idx=1&sn=0b2cc3f8729d6e497fc64c0ae8a7cdc8&chksm=805054c5b727ddd36c275c5656ad1816292f915be0e5ce7f53151473c13fa0b2d4f92f21b69f#rd
点赞！中传多个党组织和党员受到北京市委教育工委表彰,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652409170&idx=1&sn=f2de4650e49cd0e43b4aa0201b160fe1&chksm=80505681b727df9794596af63699d9757c530d48be98d7d764edc3b0a7df6b25984002d8ffb5#rd
中传2020年艺术类本科招生考试复试现场考试调整方案公告,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652409170&idx=2&sn=2296b20953c5b9a82602c8f9bba0f218&chksm=80505681b727df979853cfee8df243b812e6e46e198909c9617461b22abcd7228e69ea1a0050#rd
廿廿不忘，中传时光——中传2020届毕业生辅导员原创MV暖心送达,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652409068&idx=1&sn=8e1bf5a551868ebb975dc122172c2b11&chksm=8050573fb727de298028be146d22251f70c8c2204126dbad4a758392335c8566c4df9e00d83d#rd
“云”采访｜在中传，“新常态”下的网课有怎样的感受？,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652409067&idx=1&sn=6cb73f7fb207aebf6789d21fa5e3b6bd&chksm=80505738b727de2e5b2410b101af8e11051e6b98b7e502acf5e887a1b7f4957d4414b55d5357#rd
30000000+在线！中国传媒大学2020届云毕业典礼隆重举行,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652409004&idx=1&sn=6fa44bd070925e60b52933f48d93795b&chksm=8050577fb727de6983bd9166e3fb4fe771f83ce5e1f18ea5e9928479d86cb6bf133c13cecb22#rd
毕业致辞 | 中国传媒大学校长廖祥忠：一定要相信未来！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652408487&idx=1&sn=c801b633dd143e8a07eedb8c4a600f7e&chksm=80505174b727d86222e92d8ff4b909495a998e62bc833688ec8e348cab9627034badd613a8d2#rd
探秘「游戏里的中传」，快来一起「云返校」！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652408158&idx=1&sn=069af1a7a668f5a20360b36aab93c764&chksm=8050528db727db9b18839783c88808a860e7d94aa1a77bc1fd105098a9543c951c8fc34dee9d#rd
听说中传MBA有位“神仙画手”！快来看看“别人家的毕业照”吧~,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652408158&idx=2&sn=d34bb4a50c1dcb28fe19006e85182f72&chksm=8050528db727db9bc3ddaf5975ddb977ac3a0fa363f67eeaab3f5f2021edfaac60b00cbfd39d#rd
倒计时三天｜重磅！毕业典礼主持人及嘉宾阵容今日公开！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652408144&idx=1&sn=86c474b528c6743bb5720e0dacf828a5&chksm=80505283b727db95b6e55a61be737b649a86790031e6602875164d17006cac0d15c09bb7d796#rd
倒计时三天 | 听说ta们偷偷在和中传的小姐姐“云合唱”校歌？你也能！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652408144&idx=2&sn=bf6249fd834eef1b52b64f57196bf8f1&chksm=80505283b727db95bc651c1b622fc2091a8cda415ce6f812cfb7870bc11910ea89da15666b6c#rd
中传音乐与录音艺术学院师生共唱抗疫主题歌曲，为时代而歌！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652407956&idx=1&sn=1bff79438bb806b7514b6a2d643907e8&chksm=80505347b727da51a4f8900dd2eaa0981bf72af05183f0d8cf51869350dd6bc4743f9355dce5#rd
中国传媒大学新媒体研究院发布《新冠疫情中的信息传播与创新产品研究》报告,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652407956&idx=2&sn=5aed47ad2280352af6ad0ad96ad4d38a&chksm=80505347b727da51707561487d5e925c03ad2414328390bc210f758909942bc8b35844acf07d#rd
预告 | 新的征途，将从这场线上毕业典礼开启,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652407915&idx=1&sn=3827e133610953ba7782dfaef569c89f&chksm=805053b8b727daaeb186eb3dbc52b9e00321954de66a4e48899f7316194c24dfb9c0826de658#rd
“云”端寄相思丨中传交响乐团“云”录制《春风十里》~,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652407847&idx=1&sn=4893169a6aa54625d55e6ae45994a415&chksm=805053f4b727dae2b559be6a041272a4048f0b7df1dd1f598f7cd19264e30ea82ae0889c68e2#rd
全国安全宣传咨询日 | 消除事故隐患，筑牢安全防线,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652406843&idx=1&sn=cef4f3f5410a9376e0fedb35c9de2071&chksm=80505fe8b727d6fef96fb32632815a38ea264c5bc6e72f3505e45c1d7303a27f327b1fdafcf0#rd
专访中传在读研究生孙洲君丨当《航拍中国》第三季分集导演是一种怎样的体验？,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652406769&idx=1&sn=359578dfea41a845139a041c108a51ba&chksm=80505822b727d134e27fc8954e452c5fb6e513d02ce3b5be51897a53f1d0093874bad199344e#rd
叮！这里有一份垃圾分类教程，小白杨们注意查收哦！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652406611&idx=1&sn=d7325da260eb7f9309ce263eed3acd56&chksm=80505880b727d196e044ee3e05f814a51d2f9c68daa3d9b5dc95d85ec4c03bc6c94af88e63c6#rd
@2020届小白杨，你有一份校歌“云合唱”邀约，请查收~,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652406611&idx=2&sn=7fd36619d327ee31af2f007394828314&chksm=80505880b727d196d1841b29801af6d0afb8e1bb22a701aaf0959a5bb4f635be754eba4ef845#rd
英文书籍｜这份宝藏英文书单，你可不能错过了,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652406519&idx=1&sn=28267ee2a20a118355124d842d3a2791&chksm=80505924b727d032a853741d655347909924be63dc080a0a9b1856d820dad35108f837eb1fdd#rd
“云端”求职：手把手带你突破就业难关！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652406499&idx=1&sn=080e6b7335f50343b154f8cc179b49aa&chksm=80505930b727d026e19e8e3934cdae769f20e682db0c1f4b0ff398c8dff0c9037c89c71f9b78#rd
《南方都市报》专访中国传媒大学教授董关鹏：抗疫新闻发布是场考验耐力的“马拉松”,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652406269&idx=1&sn=0a21f6a5552f370c1cf4f73c27a7ddd2&chksm=80505a2eb727d338948aa6db40e4b0567b5c4640201fbcdbe4851af6a3752620331e85c4dd84#rd
即将返校的小白杨，请查收这份心理守护专属锦囊！(ﾉ´▽｀)ﾉ,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652406139&idx=1&sn=eb77c5214e13e6786d0aba24991af8e1&chksm=80505aa8b727d3be364ccfecf50bf945fb4e643300e70e3516e54b67fe18af1aa49e6a4f45c8#rd
@CUCers，这里有一份超详细的返校通知请查收～,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652405958&idx=1&sn=caf9577b16d64da3a459b3997363dabb&chksm=80505b15b727d203494f26f6e1673b489868050dea6850d9c8e6b527114b51355f3ada0b47bf#rd
倒计时30天｜高考加油，我在中传等你！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652405916&idx=1&sn=f2570a00a43322b972e314d68dac1876&chksm=80505b4fb727d259ac851b791fc87a8b2b6bcc2f72472ca7cc0d0196a54ecda71dc342e7ae2d#rd
中国传媒大学2020年博士学位研究生普通招考招生录取办法,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652405916&idx=2&sn=d1cd16522e6f130ecc9b33fbe5045d4c&chksm=80505b4fb727d259931ea6b41a0abce7e69325dd744cc6ebf8ed5193d904bed82759529d37b0#rd
超酷炫！中传师生联合CGTN制作大型可视化数据新闻作品～,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652405905&idx=1&sn=190696af10dc8f3f228039bcdff4614b&chksm=80505b42b727d25459a4eb86772e0bcca6ef8812de824c4891c784589c2fd299cddda1ed526a#rd
两会学习｜荆学民：新形态的“两会”彰显中国政治的调适能力,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652405810&idx=1&sn=f9e05f2d89156f3a97e3428dca4cab61&chksm=80505be1b727d2f7f091faa0636ef85e22607efe0a0fff45442c99f3d68359ef03c6c0c8396d#rd
2020年度媒体融合与传播国家重点实验室开放课题申请指南,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652405776&idx=1&sn=70c37cfe5449f9dfefefe2c1b31401f1&chksm=80505bc3b727d2d53881916f1c016e7606f44bdaf8967598fe8de8697ebe222957ecf0f94b36#rd
“媒体融合与传播国家重点实验室（中国传媒大学）”招聘启事,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652405776&idx=2&sn=6f0d65fdca064786cced20923d4f2abf&chksm=80505bc3b727d2d5dd98556000587c09c4115ee9c20a6fe7ad01f42279a4f1caca891b464104#rd
精彩预告 | “青春记疫”云晚会今晚登陆央视音乐频道,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652405726&idx=1&sn=e856a6106be9c639b33bd84f73d29f85&chksm=8050a40db7272d1b452d6fc63e4584e69131cc31d6256dacdabd5183f89e855c70e7ef68ec1a#rd
“勇往直前，永远少年”——中传师生校友助力央视新闻动画《少年》,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652405637&idx=1&sn=662f6ac869d635ffcca67276741fd83a&chksm=8050a456b7272d40527c1a184c644d73a2ef0aa41967a80f54078146c5baded3e517e262ffba#rd
网课期间如何护眼？听传传怎么说~,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652405436&idx=1&sn=0fc0be390690fbcbd5df88b1c0795d41&chksm=8050a56fb7272c79f92c9f3d4ae57a787b73e31340367f6d3ed08ce186053a7179ffe201c691#rd
中传特色“云课堂” ┃ 第2期,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652405373&idx=1&sn=8d1c8faf95b09a14eec34f4df61bcad4&chksm=8050a5aeb7272cb8530a9fdc051bd09eb05c0bb8ae25d1d43a0e715ffced7e8407461e03f258#rd
叮咚～中国传媒大学“战疫小课堂”正式上线啦！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652405324&idx=1&sn=b6f5939c3223cde336cd46545cbd8bd9&chksm=8050a59fb7272c894ec5230d715fbf9f6a4bf5c80d7505158010a4c50a9b16dc227c38415b8c#rd
中传师生深入学习习近平主席给北京科技大学全体巴基斯坦留学生的重要回信精神,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652404944&idx=1&sn=b73b770264523b25f616a31827c79e32&chksm=8050a703b7272e151f4028a129c58092cb4401f19bc39b672cfa4443bd51b8e8ba26248372e4#rd
惊了！这是什么神仙毕业展？！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652404931&idx=1&sn=5481ada96604b55b7406c7296e0fe77f&chksm=8050a710b7272e06b2001aea953b4c25c68f4d2b6bebd8bd4248b873b49cf8c2c57c01d50c28#rd
陈文申书记赴科右前旗调研定点扶贫工作,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652404899&idx=1&sn=444ae3b5f43b08df630e0c1aa7af3d04&chksm=8050a770b7272e66440447d8b2aa309a2eb91cc32dccab7bd0da9a4b13c351680a41a60c8f6e#rd
心动之美！“两会蓝”映照下的中传校园,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652404843&idx=1&sn=95e75f784638ccc5e4a87386fb281ffe&chksm=8050a7b8b7272eaee316d338c076451dc253c362170ff007879dad59017393d7eb1415c2cf00#rd
中国传媒大学关于2020年春季学期学生返校的通知,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652404534&idx=1&sn=1bf61b41a6b34cc43fd888c0b3c4504e&chksm=8050a0e5b72729f34e8aa42952632e2952fb7e6bc38ff6a78aab415db20af1db420d2c134ded#rd
中传师生热议2020年全国两会胜利召开,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652404435&idx=1&sn=ebf0612fdd34116ba12b14df2c4fc44d&chksm=8050a100b7272816c2657ec7f82ae747859e379ac2fbd34eefe802a2a82676f509e9856852d8#rd
直播预告 | 中国传媒大学助力科右前旗“云”销售,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652404224&idx=1&sn=492d5f4ae3bd2114a0e78aa9fbd73a65&chksm=8050a1d3b72728c5b1b11ac707cda7e4cfdaa6f6f4c318b341a47e267196522d1937082a201a#rd
一项特殊的“毛概”作业——中传2018级本科生“抗疫小故事”作品云展览,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652404168&idx=1&sn=6c2c3157712c521ac941bf0ec3e3fbff&chksm=8050a21bb7272b0de539795bc3cf6b2c6d79f91fa96965c900217fc34bbd3c503f7ef8495eb3#rd
中国传媒大学2020年第二批招聘公告,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652404168&idx=2&sn=dbaf85ac3b1dea2b1db0eda1d84f9bd4&chksm=8050a21bb7272b0d5ca9b978ec1850f0612e04c6b5df23054e078d25d6a8e602c258536edc37#rd
揭秘！网课期间，中传专业课老师的“云讲台”原来长这样,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652403988&idx=1&sn=4cc555689086857ea83edd8d813dc176&chksm=8050a2c7b7272bd18eb4f2e716b651f44026ae1697a3b1535f1c291b6aad6e329a547b13bfca#rd
一撇一捺间，我们用翰墨书写抗疫赞歌！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652403982&idx=1&sn=855d9af6ab13738153898046af21a58a&chksm=8050a2ddb7272bcbb6b8f6c1ccd769b8a76529b514c42b2b10ce0e2890ce36c6d21e0580e0a6#rd
31万粉丝！感谢每一个陪中传官博成长的你们｡◕‿◕｡,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652403982&idx=2&sn=1eb188aea715a3974455df001b7676c5&chksm=8050a2ddb7272bcb799695811f19631c056a2eb0d44217b6d50f5a660f6965d899a498d30e7f#rd
速来挑战！“专业行话”小测试2.0,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652403979&idx=1&sn=9a32516c6393ecaf25c6ed27976a4b81&chksm=8050a2d8b7272bcec97ba7b889ee24a1a43db015fbfdae350ac3e54df9819d9e2f583845fc09#rd
预告 | 5·17全国助残日——“光明影院”系列公益活动来了！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652403857&idx=1&sn=2fd3cdf0ef5b755917d438e12da71de1&chksm=8050a342b7272a546ef747afcc51b1cfdd4992ff0e8bc1017bdbe33fce785e0e95c3b06f6d57#rd
征稿启事｜中国传媒大学与SSCI刊物《广播与电子媒介》联合推刊,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652403857&idx=2&sn=f4603f650ceec68d0d6f701b3767e752&chksm=8050a342b7272a54d33315a467157c155c654aa28f56adfdae6506df51efc9459617294b990e#rd
中国传媒大学2020年硕士研究生招生复试录取办法,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652403749&idx=1&sn=18ff21b94cf85479446857b73f1f0464&chksm=8050a3f6b7272ae0c1f191617e6055778d6c236c723e8baacce5647048aebe3ab658180323bf#rd
上新了！虚拟主播传1.0惊艳亮相，首期带你揭秘中传花式网课！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652403379&idx=1&sn=d5c94bb60b66302c5650b1bb324ed95d&chksm=8050ad60b7272476d59f0dca99f914fa3104e9ada50a3c05723e5f04edfdc3d0083f43af8fce#rd
献花！传传祝母亲节快乐！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652403375&idx=1&sn=eb54dfe460dde460d4477334fe30653d&chksm=8050ad7cb727246a8029492847d6fe31d66077a1d5c844e6997053c765081fba44d5461bb0d2#rd
薪火相“传”，“媒”介融合——走近传媒行业与传媒教育发展历程展,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652403187&idx=1&sn=67c0f6dfec5e25356bc3fd48ba42c591&chksm=8050ae20b7272736de638c4487447c35b6b218bb99af895cee7cf8de02bc52eeba3246ee0bc8#rd
中传2020研考复试线｜中国传媒大学2020年全国硕士研究生招生考试考生进入复试的初试成绩基本要求,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652403187&idx=2&sn=7a38d8450cc969571d6bd9e76d3cf435&chksm=8050ae20b727273690589afd5ea47e906f1af930d5d26862b8c1463f2c9d4f29691925e9739f#rd
这届学院奖真厉害！首次“云论坛”“云颁奖”，6场干货直播，25项大奖揭晓,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652403165&idx=1&sn=858e4241c95896dfbe44578740db80ff&chksm=8050ae0eb7272718eb89fb5d45d63ee9d6c9fe03d55b35bd185232c3b0b5284fb5a97a926ba1#rd
果断收藏！中传各专业学霸笔记，等你来pick~,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652403138&idx=1&sn=9b86d41b6fee08a0fff250c1528dd5b2&chksm=8050ae11b72727072ad3dc1640593907ec1ce8c50a63b78bb6b30ddc4a35b1c679c6f7271e5a#rd
中国传媒大学干部师生深入学习领会习近平总书记重要寄语精神,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652403111&idx=1&sn=783e9c1f67e16a743ff5bae3c07c4ad2&chksm=8050ae74b7272762eb71f70c441430a8795a0699d568285e9688da4b66e3a604fbb18b8bc0cd#rd
传扬五四精神，绽放绚丽之花 | 在中传遇见青年最好的模样,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652403111&idx=2&sn=042d87baca8fa6964f07be02cb3da791&chksm=8050ae74b7272762f181a709889fd97b7bf3cce644e3d53bdf662fae66fec8ffba6532bacd9d#rd
赞！动画专业“作品思政”成果集《追光·筑梦》正式出版发行,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652403056&idx=1&sn=6db3aa701c1f58a3459cd909261adec7&chksm=8050aea3b72727b582793299c02816fddb71a5b10cc50d19f2d0e499c4d579c02888b8bf15fc#rd
央视《新闻直播间》报道中传等高校2020年艺考招生新举措,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652403034&idx=1&sn=0ccef5c072cb2adbb4d9c6339761be1f&chksm=8050ae89b727279fe07727b9a75a228e3716ab183cb67f4d2a728bcd956384cc9b261d53eaa6#rd
五一节 | 致敬中传劳动者！,http://mp.weixin.qq.com/s?__biz=MzAxMTc0MjkwOA==&mid=2652402986&idx=1&sn=bd1323810315d18a134bfad99994db22&chksm=8050aef9b72727efaf4347509a363062e7d116e0ad54b0b78d29d6317c4dd181244c5440be92#rd
